1,1,6666.67821,1.56E-29,1.39E-03,0.038,0.371,2733.9626,0.63,-0.008505
1,1,6666.789763,2.77E-27,2.12E-04,0.0769,0.315,1360.235,0.55,-0.006748
1,1,6666.7948,1.25E-29,2.48E+00,0.0871,0.391,4244.305,0.67,-0.01032
1,1,6666.9713,1.12E-26,1.06E-01,0.0861,0.371,2271.712,0.63,-0.012372
1,1,6667.1133,8.36E-25,1.01E-02,0.0752,0.375,931.237,0.61,-0.013628
1,1,6667.1735,7.05E-29,2.34E+00,0.08,0.412,3598.7274,0.69,-0.00514
1,1,6667.2312,4.75E-27,4.55E-03,0.0659,0.315,1631.2453,0.55,-0.02714
1,1,6667.2628,1.46E-29,7.14E-04,0.0687,0.352,2439.9544,0.61,-0.016008
1,1,6667.64826,4.22E-24,2.29E-02,0.089,0.452,383.8425,0.69,-0.008009
1,1,6667.6552,7.08E-27,1.67E+00,0.0331,0.235,3084.8347,0.4,-0.017664
1,1,6667.6617,5.04E-27,6.90E-05,0.0613,0.333,1006.1157,0.57,-0.014184
1,1,6667.8708,1.05E-29,1.42E+00,0.0819,0.391,4165.474,0.67,-0.006692
1,1,6667.874509,1.08E-29,2.72E+00,0.0168,0.221,4534.9639,0.37,-0.01856
1,1,6667.8978,3.29E-29,4.75E+00,0.0235,0.208,4207.5605,0.35,-0.02546
1,1,6667.9301,2.73E-29,7.27E-03,0.0508,0.371,2733.9626,0.63,-0.00472
1,1,6667.95028,1.32E-23,4.20E-02,0.0844,0.47,326.6255,0.67,-0.011959
1,1,6667.9534,2.13E-28,2.34E+00,0.0785,0.412,3597.866,0.69,-0.006824
1,1,6667.967065,2.02E-27,3.15E-01,0.0142,0.298,2701.888,0.51,-0.02702
1,1,6667.967066,6.06E-27,3.15E-01,0.0161,0.298,2701.888,0.51,-0.02376
1,1,6668.0645,1.19E-24,5.98E-02,0.036,0.253,1293.6337,0.51,-0.013879
1,1,6668.1614,2.68E-29,1.01E+01,0.0663,0.352,4452.353,0.61,-0.01224
1,1,6668.2076,4.23E-28,5.81E-02,0.0431,0.25,2748.0987,0.41,-0.02752
1,1,6668.2715,5.01E-29,4.45E-03,0.0504,0.371,2733.9626,0.63,-0.007472
1,1,6668.58901,3.31E-26,2.12E+00,0.0708,0.352,2439.9544,0.61,-0.006928
1,1,6668.6009,1.67E-29,4.08E-02,0.0815,0.412,3381.7043,0.69,-0.006532
1,1,6668.6873,2.94E-28,2.87E-02,0.0295,0.235,2918.2437,0.4,-0.024764
1,1,6668.6973,3.46E-29,1.96E+00,0.034,0.195,4027.5043,0.34,-0.01556
1,1,6668.7073,4.01E-25,6.01E-02,0.0369,0.263,1293.0173,0.51,-0.013564
1,1,6668.8874,3.35E-25,2.17E+00,0.0711,0.34,2161.2859,0.63,-0.006956
1,1,6669.427247,1.00E-28,4.79E+00,0.0252,0.208,4206.332,0.35,-0.02246
1,1,6669.5908,4.23E-28,4.26E-04,0.0145,0.265,1962.5062,0.44,-0.015688
1,1,6669.69535,2.78E-24,2.08E-02,0.0805,0.437,542.9058,0.63,-0.002499
1,1,6669.6991,1.73E-27,2.47E+00,0.0513,0.298,3383.2651,0.51,-0.010828
1,1,6669.86951,1.04E-24,4.90E-03,0.0949,0.465,285.2193,0.71,-0.014488
1,1,6670.3499,4.57E-25,1.03E-02,0.0673,0.355,1059.8353,0.61,-0.017464
1,1,6670.4594,9.51E-24,3.04E-02,0.091,0.45,206.3014,0.71,-0.005989
1,1,6670.4848,4.70E-24,7.79E-01,0.036,0.277,1293.0173,0.51,-0.019769
1,1,6670.5459,1.47E-27,1.70E-02,0.0659,0.265,2205.6518,0.44,-0.011996
1,1,6670.585,8.05E-27,9.75E-02,0.0212,0.25,2248.0632,0.41,-0.024664
1,1,6670.5998,6.06E-29,3.18E-02,0.035,0.235,3264.3362,0.4,-0.020264
1,1,6670.7873,4.00E-29,1.66E+00,0.0166,0.183,4201.8554,0.33,-0.02776
1,1,6670.841,8.43E-28,2.21E-04,0.0384,0.333,1590.6901,0.57,-0.01872
